Activity,DurationTotalMinutes,Date,Hour,DayTime
Personal Hygiene,0.6,2015-01-13,17,Day
Personal Hygiene,0.3,2015-01-13,17,Day
Personal Hygiene,0.2,2015-01-13,17,Day
Other activity in kitchen,0.3,2015-01-09,13,Day
Continence,3.3,2015-01-11,17,Day
Personal Hygiene,0.2,2014-12-12,15,Day
Other activity in kitchen,3.7,2015-01-13,13,Day
Other activity in bathroom,0.3,2015-01-13,17,Day
Other activity in bathroom,0.2,2015-01-13,17,Day
Personal Hygiene,0.5,2015-01-13,17,Day
Showering,5.1,2014-12-07,14,Day
Personal Hygiene,0.4,2015-01-13,12,Day
Personal Hygiene,0.3,2014-12-12,14,Day
Food Preparation,43.5,2015-01-09,12,Day
Food Preparation,26.8,2015-01-06,12,Day
Personal Hygiene,0.4,2015-01-13,17,Day
Food Preparation,10.8,2015-01-13,12,Day
Food Preparation,37.7,2014-12-12,14,Day
Continence,0.9,2015-01-13,17,Day
Other activity in bathroom,0.9,2015-01-13,17,Day
Continence,0.9,2014-12-12,15,Day
Other activity in bathroom,0.3,2015-01-13,17,Day
Continence,12.1,2015-01-13,12,Day
Continence,0.9,2014-12-12,14,Day
Continence,0.5,2015-01-13,17,Day
Food Preparation,23.8,2014-12-16,12,Day
Personal Hygiene,0.7,2015-01-13,17,Day
Food Preparation,21.9,2014-12-16,12,Day
Personal Hygiene,0.4,2015-01-13,17,Day
Other activity in kitchen,1.2,2015-01-09,14,Day
Food Preparation,1.9,2014-12-16,12,Day
Personal Hygiene,0.7,2015-01-13,17,Day
Food Preparation,73.0,2015-01-13,14,Day
Continence,0.6,2015-01-13,17,Day
Other activity in kitchen,1.7,2015-01-09,14,Day
Food Preparation,29.4,2015-01-06,14,Day
Other activity in kitchen,4.6,2015-01-09,14,Day
Continence,0.6,2015-01-13,17,Day
Food Preparation,27.2,2014-12-17,14,Day
Other activity in kitchen,1.4,2015-01-09,14,Day
Continence,2.9,2015-01-13,17,Day
Other activity in kitchen,3.6,2015-01-09,14,Day
Continence,2.7,2015-01-13,17,Day
Continence,9.9,2015-01-13,17,Day
Continence,1.5,2015-01-13,17,Day
Other activity in kitchen,6.5,2015-01-13,14,Day
Continence,2.6,2015-01-13,17,Day
Other activity in bathroom,0.2,2015-01-13,17,Day
Food Preparation,4.2,2015-01-13,16,Day
Food Preparation,19.4,2014-12-12,13,Day
Showering,5.8,2015-01-11,17,Day
Other activity in bathroom,0.3,2015-01-13,17,Day
Personal Hygiene,0.3,2015-01-13,17,Day
Personal Hygiene,0.5,2015-01-13,17,Day
Food Preparation,17.7,2014-12-17,16,Day
Food Preparation,7.2,2015-01-09,13,Day
Other activity in bathroom,0.2,2015-01-13,17,Day
Continence,8.0,2015-01-13,16,Day
Other activity in bathroom,4.1,2015-01-13,17,Day
Other activity in bathroom,0.3,2015-01-09,12,Day
Personal Hygiene,0.2,2015-01-13,17,Day
Food Preparation,18.6,2015-01-09,13,Day
Continence,0.6,2015-01-13,17,Day
