DetectorId,TypeEstimation,DurationTotalMinutes,TypeEstimation1,TypeEstimation2,Date,Hour,DayTime
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-12,21,Evening
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.3,basin,usage,2015-01-08,21,Evening
LocationDetector,person_in_bathroom,0.9,person,in_bathroom,2015-01-13,18,Evening
AudioSoundDetector,shower_usage,5.8,shower,usage,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,0.9,person,in_bathroom,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.5,basin,usage,2015-01-08,21,Evening
PIRPresenceDetector,person_next_to_toilet,0.2,person,next_to_toilet,2015-01-08,21,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-12,21,Evening
PIRPresenceDetector,person_next_to_toilet,0.1,person,next_to_toilet,2015-01-12,21,Evening
LocationDetector,person_next_to_sink,0.5,person,next_to_sink,2015-01-13,18,Evening
LocationDetector,person_in_bathroom,0.9,person,in_bathroom,2015-01-13,18,Evening
LocationDetector,person_next_to_sink,0.3,person,next_to_sink,2015-01-13,18,Evening
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-12,21,Evening
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-13,18,Evening
LocationDetector,person_next_to_sink,0.3,person,next_to_sink,2015-01-13,18,Evening
PIRPresenceDetector,person_next_to_toilet,0.1,person,next_to_toilet,2015-01-12,21,Evening
LocationDetector,person_next_to_toilet,0.0,person,next_to_toilet,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
LocationDetector,person_in_bathroom,0.8,person,in_bathroom,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-12,21,Evening
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
LocationDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-12,21,Evening
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-13,18,Evening
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-13,18,Evening
WaterFlowDetection_Bathroom,toilet_usage,0.1,toilet,usage,2015-01-13,18,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-12,21,Evening
PIRPresenceDetector,person_next_to_toilet,0.1,person,next_to_toilet,2015-01-12,21,Evening
AudioSoundDetector,speaking,0.1,speaking,,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,2.5,person,in_bathroom,2015-01-08,21,Evening
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-12,21,Evening
WaterFlowDetection_Bathroom,toilet_usage,0.1,toilet,usage,2015-01-13,18,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
LocationDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
AudioSoundDetector,tooth_brushing,0.1,tooth,brushing,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,1.4,person,in_bathroom,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,1.0,basin,usage,2015-01-08,21,Evening
LocationDetector,person_next_to_shower,0.4,person,next_to_shower,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.2,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,speaking,0.8,speaking,,2015-01-13,18,Evening
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-08,21,Evening
AudioSoundDetector,speaking,0.1,speaking,,2015-01-08,21,Evening
AudioSoundDetector,bathtub_filling,0.5,bathtub,filling,2015-01-08,21,Evening
AudioSoundDetector,bathtub_filling,1.6,bathtub,filling,2015-01-08,21,Evening
AudioSoundDetector,speaking,0.8,speaking,,2015-01-13,18,Evening
LocationDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,21,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-13,18,Evening
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-08,21,Evening
AudioSoundDetector,speaking,0.1,speaking,,2015-01-08,21,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-13,18,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
