DetectorId,TypeEstimation,DurationTotalMinutes,TypeEstimation1,TypeEstimation2,Date,Hour,DayTime
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2015-01-09,5,Night
WaterFlowDetection_Kitchen,sink_usage,0.1,sink,usage,2015-01-09,5,Night
LocationDetector,person_in_kitchen,1.2,person,in_kitchen,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
LocationDetector,person_in_kitchen,26.6,person,in_kitchen,2015-01-09,5,Night
LocationDetector,person_next_to_working_place,16.2,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_in_kitchen,0.2,person,in_kitchen,2015-01-09,5,Night
LocationDetector,person_in_kitchen,0.7,person,in_kitchen,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
General_Power_Detector,general_foodappliance_usage,1.7,general,foodappliance_usage,2015-01-09,5,Night
LocationDetector,person_in_kitchen,0.4,person,in_kitchen,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,5,Night
Power_Detector_Fridge,fridge_open,0.0,fridge,open,2015-01-09,5,Night
LocationDetector,person_in_kitchen,0.3,person,in_kitchen,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,5,Night
LocationDetector,person_in_kitchen,0.4,person,in_kitchen,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,5,Night
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2015-01-09,5,Night
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,5,Night
