Index,StartTime,StopTime,SensorID,DetectorId,TypeEstimation,Start-Date,Stop-Date,Start-Time,End-Time,DurationSeconds,WeekOfYear,DayOfWeek
743,12/16/2014 12:11:15 PM,12/16/2014 12:11:21 PM,00:13:A2:00:40:79:66:7B-MD,PIRPresenceDetector,person_in_eatingarea,12/16/2014,12/16/2014,12:11:15 PM,12:11:21 PM,6,51,2
42,12/7/2014 2:51:43 PM,12/7/2014 2:51:44 PM,605,LocationDetector,person_in_bathroom,12/7/2014,12/7/2014,2:51:43 PM,2:51:44 PM,1,50,0
6094,1/13/2015 5:40:09 PM,1/13/2015 5:38:17 PM,602,LocationDetector,person_in_bathroom,1/13/2015,1/13/2015,5:40:09 PM,5:38:17 PM,52,3,2
3387,1/12/2015 7:59:26 AM,1/12/2015 7:59:29 AM,SmartPhone,AudioSoundDetector,basin_usage,1/12/2015,1/12/2015,7:59:26 AM,7:59:29 AM,3,3,1
6027,1/13/2015 5:29:27 PM,1/13/2015 5:26:42 PM,SmartPhone,AudioSoundDetector,speaking,1/13/2015,1/13/2015,5:29:27 PM,5:26:42 PM,45,3,2
5284,1/13/2015 3:37:12 PM,1/13/2015 3:37:19 PM,603,LocationDetector,person_next_to_working_place,1/13/2015,1/13/2015,3:37:12 PM,3:37:19 PM,7,3,2
1484,1/6/2015 12:35:42 PM,1/6/2015 12:35:54 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/6/2015,1/6/2015,12:35:42 PM,12:35:54 PM,12,2,2
6090,1/13/2015 5:40:02 PM,1/13/2015 5:38:14 PM,602,LocationDetector,person_in_bathroom,1/13/2015,1/13/2015,5:40:02 PM,5:38:14 PM,48,3,2
4883,1/13/2015 3:16:24 PM,1/13/2015 3:16:26 PM,SmartPhone,AudioSoundDetector,eating_(cutlery),1/13/2015,1/13/2015,3:16:24 PM,3:16:26 PM,2,3,2
3974,1/13/2015 10:51:50 AM,1/13/2015 10:51:50 AM,00:13:A2:00:40:86:68:21-CONTACT1_TRIGGERED,DoorOpenDetector,eating_drinking_cupboard_open,1/13/2015,1/13/2015,10:51:50 AM,10:51:50 AM,0,3,2
5889,1/13/2015 5:04:50 PM,1/13/2015 5:04:55 PM,603,LocationDetector,person_in_kitchen,1/13/2015,1/13/2015,5:04:50 PM,5:04:55 PM,5,3,2
4341,1/13/2015 2:14:37 PM,1/13/2015 2:14:41 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/13/2015,1/13/2015,2:14:37 PM,2:14:41 PM,4,3,2
1000,12/17/2014 2:21:31 PM,12/17/2014 2:21:39 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,12/17/2014,12/17/2014,2:21:31 PM,2:21:39 PM,8,51,3
1418,1/6/2015 12:27:25 PM,1/6/2015 12:30:48 PM,603,LocationDetector,person_next_to_working_place,1/6/2015,1/6/2015,12:27:25 PM,12:30:48 PM,23,2,2
4453,1/13/2015 2:46:10 PM,1/13/2015 2:46:13 PM,603,LocationDetector,person_in_kitchen,1/13/2015,1/13/2015,2:46:10 PM,2:46:13 PM,3,3,2
717,12/16/2014 11:49:03 AM,12/16/2014 11:49:07 AM,SmartPhone,AudioSoundDetector,water_running_in_sink,12/16/2014,12/16/2014,11:49:03 AM,11:49:07 AM,4,51,2
4442,1/13/2015 2:45:26 PM,1/13/2015 2:45:39 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/13/2015,1/13/2015,2:45:26 PM,2:45:39 PM,13,3,2
402,12/12/2014 2:20:20 PM,12/12/2014 2:20:24 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,12/12/2014,12/12/2014,2:20:20 PM,2:20:24 PM,4,50,5
2486,1/9/2015 11:55:44 AM,1/9/2015 11:55:56 AM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/9/2015,1/9/2015,11:55:44 AM,11:55:56 AM,12,2,5
6210,1/13/2015 5:55:57 PM,1/13/2015 5:55:04 PM,602,LocationDetector,person_in_bathroom,1/13/2015,1/13/2015,5:55:57 PM,5:55:04 PM,53,3,2
5206,1/13/2015 3:32:29 PM,1/13/2015 3:32:36 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/13/2015,1/13/2015,3:32:29 PM,3:32:36 PM,7,3,2
4838,1/13/2015 3:14:01 PM,1/13/2015 3:14:01 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/13/2015,1/13/2015,3:14:01 PM,3:14:01 PM,0,3,2
5620,1/13/2015 3:52:25 PM,1/13/2015 3:52:25 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/13/2015,1/13/2015,3:52:25 PM,3:52:25 PM,0,3,2
79,12/12/2014 11:31:25 AM,12/12/2014 11:31:25 AM,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,12/12/2014,12/12/2014,11:31:25 AM,11:31:25 AM,0,50,5
991,12/17/2014 2:20:33 PM,12/17/2014 2:20:37 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,12/17/2014,12/17/2014,2:20:33 PM,2:20:37 PM,4,51,3
3015,1/9/2015 1:22:35 PM,1/9/2015 1:25:29 PM,00:13:A2:00:40:8A:D3:43-LOAD,General_Power_Detector,general_foodappliance_usage,1/9/2015,1/9/2015,1:22:35 PM,1:25:29 PM,54,2,5
5471,1/13/2015 3:44:44 PM,1/13/2015 3:44:44 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/13/2015,1/13/2015,3:44:44 PM,3:44:44 PM,0,3,2
5021,1/13/2015 3:23:13 PM,1/13/2015 3:26:10 PM,SmartPhone,AudioSoundDetector,water_boiler,1/13/2015,1/13/2015,3:23:13 PM,3:26:10 PM,57,3,2
723,12/16/2014 11:50:24 AM,12/16/2014 11:50:41 AM,603,LocationDetector,stove_on,12/16/2014,12/16/2014,11:50:24 AM,11:50:41 AM,17,51,2
329,12/12/2014 1:50:09 PM,12/12/2014 1:50:09 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,12/12/2014,12/12/2014,1:50:09 PM,1:50:09 PM,0,50,5
470,12/12/2014 2:31:09 PM,12/12/2014 2:31:14 PM,603,LocationDetector,stove_on,12/12/2014,12/12/2014,2:31:09 PM,2:31:14 PM,5,50,5
5598,1/13/2015 3:49:15 PM,1/13/2015 3:49:15 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/13/2015,1/13/2015,3:49:15 PM,3:49:15 PM,0,3,2
95,12/12/2014 11:33:09 AM,12/12/2014 11:33:22 AM,00:13:A2:00:40:7E:7C:27-MD,PIRPresenceDetector,person_next_to_toilet,12/12/2014,12/12/2014,11:33:09 AM,11:33:22 AM,13,50,5
5123,1/13/2015 3:28:55 PM,1/13/2015 3:28:55 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/13/2015,1/13/2015,3:28:55 PM,3:28:55 PM,0,3,2
1338,1/6/2015 12:20:11 PM,1/6/2015 12:20:24 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/6/2015,1/6/2015,12:20:11 PM,12:20:24 PM,13,2,2
6249,1/13/2015 5:59:50 PM,1/13/2015 5:59:58 PM,00:13:A2:00:40:7E:7C:27-MD,PIRPresenceDetector,person_next_to_toilet,1/13/2015,1/13/2015,5:59:50 PM,5:59:58 PM,8,3,2
708,12/16/2014 11:47:20 AM,12/16/2014 11:47:20 AM,00:13:A2:00:40:8A:D2:EF-LOAD,Power_Detector_Fridge,fridge_open,12/16/2014,12/16/2014,11:47:20 AM,11:47:20 AM,0,51,2
2286,1/9/2015 11:18:33 AM,1/9/2015 11:18:37 AM,704,WaterFlowDetection_Bathroom,toilet_usage,1/9/2015,1/9/2015,11:18:33 AM,11:18:37 AM,4,2,5
3159,1/9/2015 1:39:22 PM,1/9/2015 1:39:22 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/9/2015,1/9/2015,1:39:22 PM,1:39:22 PM,0,2,5
1547,1/6/2015 2:25:12 PM,1/6/2015 2:25:33 PM,603,LocationDetector,person_next_to_working_place,1/6/2015,1/6/2015,2:25:12 PM,2:25:33 PM,21,2,2
2606,1/9/2015 12:09:04 PM,1/9/2015 12:09:04 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/9/2015,1/9/2015,12:09:04 PM,12:09:04 PM,0,2,5
3006,1/9/2015 1:21:37 PM,1/9/2015 1:21:47 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/9/2015,1/9/2015,1:21:37 PM,1:21:47 PM,10,2,5
5701,1/13/2015 3:54:47 PM,1/13/2015 3:54:47 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/13/2015,1/13/2015,3:54:47 PM,3:54:47 PM,0,3,2
2229,1/9/2015 11:12:08 AM,1/9/2015 11:12:10 AM,SmartPhone,AudioSoundDetector,toilet_usage,1/9/2015,1/9/2015,11:12:08 AM,11:12:10 AM,2,2,5
3421,1/12/2015 9:39:53 PM,1/12/2015 9:45:56 PM,SmartPhone,AudioSoundDetector,shower_usage,1/12/2015,1/12/2015,9:39:53 PM,9:45:56 PM,3,3,1
2583,1/9/2015 12:07:03 PM,1/9/2015 12:07:15 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/9/2015,1/9/2015,12:07:03 PM,12:07:15 PM,12,2,5
5084,1/13/2015 3:27:06 PM,1/13/2015 3:27:11 PM,SmartPhone,AudioSoundDetector,eating_(cutlery),1/13/2015,1/13/2015,3:27:06 PM,3:27:11 PM,5,3,2
1458,1/6/2015 12:31:45 PM,1/6/2015 12:31:57 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/6/2015,1/6/2015,12:31:45 PM,12:31:57 PM,12,2,2
69,12/8/2014 8:13:28 AM,12/8/2014 8:13:28 AM,605,LocationDetector,person_in_bathroom,12/8/2014,12/8/2014,8:13:28 AM,8:13:28 AM,0,50,1
6289,1/13/2015 6:01:08 PM,1/13/2015 6:01:04 PM,602,LocationDetector,person_in_bathroom,1/13/2015,1/13/2015,6:01:08 PM,6:01:04 PM,4,3,2
686,12/16/2014 11:29:17 AM,12/16/2014 11:29:22 AM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,12/16/2014,12/16/2014,11:29:17 AM,11:29:22 AM,5,51,2
4530,1/13/2015 2:51:18 PM,1/13/2015 2:51:19 PM,SmartPhone,AudioSoundDetector,eating_(cutlery),1/13/2015,1/13/2015,2:51:18 PM,2:51:19 PM,1,3,2
3265,1/9/2015 2:12:49 PM,1/9/2015 2:12:49 PM,00:13:A2:00:40:79:66:7B-MD,PIRPresenceDetector,person_in_eatingarea,1/9/2015,1/9/2015,2:12:49 PM,2:12:49 PM,0,2,5
1966,1/9/2015 10:17:47 AM,1/9/2015 10:17:47 AM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/9/2015,1/9/2015,10:17:47 AM,10:17:47 AM,0,2,5
5504,1/13/2015 3:45:51 PM,1/13/2015 3:45:56 PM,SmartPhone,AudioSoundDetector,mixer,1/13/2015,1/13/2015,3:45:51 PM,3:45:56 PM,5,3,2
6108,1/13/2015 5:42:08 PM,1/13/2015 5:42:13 PM,SmartPhone,AudioSoundDetector,tooth_brushing,1/13/2015,1/13/2015,5:42:08 PM,5:42:13 PM,5,3,2
602,12/12/2014 2:47:14 PM,12/12/2014 2:47:18 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,12/12/2014,12/12/2014,2:47:14 PM,2:47:18 PM,4,50,5
1505,1/6/2015 12:37:44 PM,1/6/2015 12:37:44 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/6/2015,1/6/2015,12:37:44 PM,12:37:44 PM,0,2,2
1376,1/6/2015 12:24:14 PM,1/6/2015 12:25:07 PM,603,LocationDetector,stove_on,1/6/2015,1/6/2015,12:24:14 PM,12:25:07 PM,53,2,2
4092,1/13/2015 10:58:15 AM,1/13/2015 10:58:15 AM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/13/2015,1/13/2015,10:58:15 AM,10:58:15 AM,0,3,2
2249,1/9/2015 11:14:09 AM,1/9/2015 11:14:20 AM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/9/2015,1/9/2015,11:14:09 AM,11:14:20 AM,11,2,5
5113,1/13/2015 3:28:29 PM,1/13/2015 3:29:33 PM,SmartPhone,AudioSoundDetector,water_boiler,1/13/2015,1/13/2015,3:28:29 PM,3:29:33 PM,4,3,2
6320,1/13/2015 6:02:58 PM,1/13/2015 6:02:10 PM,00:13:A2:00:40:7E:7C:27-MD,PIRPresenceDetector,person_next_to_toilet,1/13/2015,1/13/2015,6:02:58 PM,6:02:10 PM,48,3,2
2954,1/9/2015 12:53:42 PM,1/9/2015 12:54:07 PM,603,LocationDetector,person_in_kitchen,1/9/2015,1/9/2015,12:53:42 PM,12:54:07 PM,25,2,5
4086,1/13/2015 10:57:40 AM,1/13/2015 10:57:40 AM,00:13:A2:00:40:86:68:21-CONTACT1_TRIGGERED,DoorOpenDetector,eating_drinking_cupboard_open,1/13/2015,1/13/2015,10:57:40 AM,10:57:40 AM,0,3,2
5937,1/13/2015 5:16:07 PM,1/13/2015 5:16:13 PM,SmartPhone,AudioSoundDetector,tooth_brushing,1/13/2015,1/13/2015,5:16:07 PM,5:16:13 PM,6,3,2
4243,1/13/2015 12:17:02 PM,1/13/2015 12:17:14 PM,603,LocationDetector,person_next_to_working_place,1/13/2015,1/13/2015,12:17:02 PM,12:17:14 PM,12,3,2
1521,1/6/2015 2:20:46 PM,1/6/2015 2:20:58 PM,00:13:A2:00:40:79:66:8A-MD,PIRPresenceDetector,person_in_kitchen,1/6/2015,1/6/2015,2:20:46 PM,2:20:58 PM,12,2,2
2040,1/9/2015 10:46:44 AM,1/9/2015 10:46:44 AM,00:13:A2:00:40:7E:7C:27-MD,PIRPresenceDetector,person_next_to_toilet,1/9/2015,1/9/2015,10:46:44 AM,10:46:44 AM,0,2,5
3184,1/9/2015 1:52:27 PM,1/9/2015 1:52:39 PM,00:13:A2:00:40:79:66:7B-MD,PIRPresenceDetector,person_in_eatingarea,1/9/2015,1/9/2015,1:52:27 PM,1:52:39 PM,12,2,5
2920,1/9/2015 12:48:59 PM,1/9/2015 12:49:11 PM,00:13:A2:00:40:7E:7B:4E-MD,PIRPresenceDetector,person_next_to_working_plate,1/9/2015,1/9/2015,12:48:59 PM,12:49:11 PM,12,2,5
