Activity,DurationTotalMinutes,Date,Hour,DayTime
Personal Hygiene,0.6,1/13/2015,17,Day
Personal Hygiene,0.3,1/13/2015,17,Day
Personal Hygiene,0.2,1/13/2015,17,Day
Other activity in kitchen,3.7,1/13/2015,13,Day
Other activity in bathroom,0.3,1/13/2015,17,Day
Other activity in bathroom,0.2,1/13/2015,17,Day
Personal Hygiene,0.5,1/13/2015,17,Day
Personal Hygiene,0.4,1/13/2015,12,Day
Personal Hygiene,0.4,1/13/2015,17,Day
Food Preparation,10.8,1/13/2015,12,Day
Continence,0.9,1/13/2015,17,Day
Other activity in bathroom,0.9,1/13/2015,17,Day
Other activity in bathroom,0.3,1/13/2015,17,Day
Continence,12.1,1/13/2015,12,Day
Continence,0.5,1/13/2015,17,Day
Personal Hygiene,0.7,1/13/2015,17,Day
Personal Hygiene,0.4,1/13/2015,17,Day
Personal Hygiene,0.7,1/13/2015,17,Day
Food Preparation,73,1/13/2015,14,Day
Continence,0.6,1/13/2015,17,Day
Continence,0.6,1/13/2015,17,Day
Continence,2.9,1/13/2015,17,Day
Continence,2.7,1/13/2015,17,Day
Continence,9.9,1/13/2015,17,Day
Continence,1.5,1/13/2015,17,Day
Other activity in kitchen,6.5,1/13/2015,14,Day
Continence,2.6,1/13/2015,17,Day
Other activity in bathroom,0.2,1/13/2015,17,Day
Food Preparation,4.2,1/13/2015,16,Day
Other activity in bathroom,0.3,1/13/2015,17,Day
Personal Hygiene,0.3,1/13/2015,17,Day
Personal Hygiene,0.5,1/13/2015,17,Day
Other activity in bathroom,0.2,1/13/2015,17,Day
Continence,8,1/13/2015,16,Day
Other activity in bathroom,4.1,1/13/2015,17,Day
Personal Hygiene,0.2,1/13/2015,17,Day
Continence,0.6,1/13/2015,17,Day
