DetectorId,TypeEstimation,DurationTotalMinutes,TypeEstimation1,TypeEstimation2,Date,Hour,DayTime
LocationDetector,person_in_kitchen,0.3,person,in_kitchen,2015-01-09,12,Day
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,12,Day
AudioSoundDetector,water_running_in_sink,0.1,water,running_in_sink,2014-12-16,12,Day
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-13,15,Day
LocationDetector,person_next_to_working_place,0.3,person,next_to_working_place,2014-12-12,14,Day
AudioSoundDetector,water_boiler,0.7,water,boiler,2015-01-13,15,Day
WaterFlowDetection_Kitchen,sink_usage,0.2,sink,usage,2014-12-12,14,Day
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-13,15,Day
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,13,Day
PIRPresenceDetector,person_in_kitchen,0.2,person,in_kitchen,2014-12-16,12,Day
LocationDetector,person_next_to_sink,0.0,person,next_to_sink,2015-01-13,17,Day
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-06,12,Day
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2014-12-16,12,Day
LocationDetector,stove_on,0.2,stove,on,2015-01-06,12,Day
AudioSoundDetector,eating_(cutlery),0.0,eating,(cutlery),2015-01-13,15,Day
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-13,15,Day
LocationDetector,person_in_bathroom,1.1,person,in_bathroom,2015-01-13,17,Day
LocationDetector,person_next_to_working_place,0.8,person,next_to_working_place,2015-01-13,15,Day
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-06,14,Day
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-06,14,Day
AudioSoundDetector,eating_(cutlery),0.0,eating,(cutlery),2015-01-13,15,Day
PIRPresenceDetector,person_in_eatingarea,0.1,person,in_eatingarea,2014-12-16,12,Day
LocationDetector,stove_on,0.1,stove,on,2015-01-09,13,Day
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-13,15,Day
LocationDetector,person_next_to_sink,0.3,person,next_to_sink,2015-01-09,12,Day
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2015-01-09,12,Day
AudioSoundDetector,speaking,0.5,speaking,,2015-01-13,17,Day
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2015-01-13,14,Day
PIRPresenceDetector,person_in_kitchen,0.2,person,in_kitchen,2014-12-12,14,Day
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2014-12-12,15,Day
