DetectorId,TypeEstimation,DurationTotalMinutes,TypeEstimation1,TypeEstimation2,Date,Hour,DayTime
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2014-12-12,11,Morning
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-13,10,Morning
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-13,10,Morning
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2014-12-16,11,Morning
LocationDetector,person_in_bathroom,0.7,person,in_bathroom,2015-01-13,10,Morning
AudioSoundDetector,water_running_in_sink,0.1,water,running_in_sink,2014-12-16,11,Morning
PIRPresenceDetector,person_next_to_toilet,0.1,person,next_to_toilet,2014-12-12,11,Morning
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-13,10,Morning
AudioSoundDetector,water_running_in_sink,0.2,water,running_in_sink,2015-01-06,10,Morning
WaterFlowDetection_Kitchen,sink_usage,0.2,sink,usage,2015-01-09,9,Morning
LocationDetector,person_next_to_toilet,7.7,person,next_to_toilet,2015-01-13,10,Morning
WaterFlowDetection_Bathroom,toilet_usage,0.1,toilet,usage,2015-01-09,10,Morning
AudioSoundDetector,tooth_brushing,0.1,tooth,brushing,2015-01-09,11,Morning
LocationDetector,person_in_kitchen,1.8,person,in_kitchen,2015-01-09,10,Morning
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-09,10,Morning
Power_Detector_Fridge,fridge_open,0.3,fridge,open,2015-01-13,10,Morning
LocationDetector,person_in_kitchen,0.2,person,in_kitchen,2015-01-09,11,Morning
WaterFlowDetection_Bathroom,toilet_usage,0.1,toilet,usage,2015-01-13,10,Morning
LocationDetector,person_in_kitchen,0.4,person,in_kitchen,2015-01-09,10,Morning
PIRPresenceDetector,person_in_kitchen,0.2,person,in_kitchen,2015-01-09,10,Morning
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,10,Morning
PIRPresenceDetector,person_next_to_toilet,0.2,person,next_to_toilet,2014-12-12,11,Morning
LocationDetector,person_in_kitchen,0.1,person,in_kitchen,2015-01-09,11,Morning
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-13,10,Morning
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-06,10,Morning
LocationDetector,person_next_to_sink,0.5,person,next_to_sink,2015-01-09,10,Morning
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-13,10,Morning
LocationDetector,person_in_kitchen,1.8,person,in_kitchen,2014-12-16,11,Morning
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-13,10,Morning
LocationDetector,person_next_to_sink,1.6,person,next_to_sink,2015-01-09,10,Morning
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-09,10,Morning
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-12,7,Morning
AudioSoundDetector,shower_usage,1.0,shower,usage,2015-01-13,10,Morning
AudioSoundDetector,water_running_in_sink,0.1,water,running_in_sink,2014-12-16,11,Morning
AudioSoundDetector,tooth_brushing,0.2,tooth,brushing,2015-01-08,8,Morning
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-13,10,Morning
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-13,10,Morning
PIRPresenceDetector,person_in_kitchen,0.2,person,in_kitchen,2015-01-13,10,Morning
LocationDetector,person_in_bathroom,0.1,person,in_bathroom,2014-12-12,11,Morning
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-13,10,Morning
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,11,Morning
PIRPresenceDetector,person_next_to_toilet,0.2,person,next_to_toilet,2015-01-09,11,Morning
LocationDetector,person_next_to_toilet,0.1,person,next_to_toilet,2015-01-09,11,Morning
PIRPresenceDetector,person_next_to_toilet,0.1,person,next_to_toilet,2014-12-12,11,Morning
LocationDetector,person_in_bathroom,0.0,person,in_bathroom,2014-12-12,11,Morning
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,10,Morning
PIRPresenceDetector,person_in_kitchen,0.1,person,in_kitchen,2014-12-16,11,Morning
WaterFlowDetection_Bathroom,toilet_usage,0.1,toilet,usage,2015-01-12,7,Morning
PIRPresenceDetector,person_next_to_toilet,0.2,person,next_to_toilet,2014-12-12,11,Morning
LocationDetector,person_in_bathroom,0.1,person,in_bathroom,2014-12-12,11,Morning
AudioSoundDetector,eating_(cutlery),0.0,eating,(cutlery),2014-12-16,11,Morning
Power_Detector_Fridge,fridge_open,0.2,fridge,open,2015-01-09,11,Morning
PIRPresenceDetector,person_next_to_working_place,0.1,person,next_to_working_place,2015-01-09,10,Morning
PIRPresenceDetector,person_in_bathroom,0.1,person,in_bathroom,2015-01-09,11,Morning
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-13,10,Morning
LocationDetector,person_in_kitchen,0.1,person,in_kitchen,2014-12-16,11,Morning
LocationDetector,person_in_bathroom,0.3,person,in_bathroom,2015-01-09,11,Morning
LocationDetector,person_in_bathroom,0.9,person,in_bathroom,2014-12-12,11,Morning
LocationDetector,person_in_kitchen,0.1,person,in_kitchen,2015-01-13,10,Morning
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-09,11,Morning
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2014-12-12,11,Morning
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-09,10,Morning
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-13,10,Morning
PIRPresenceDetector,person_next_to_working_place,0.2,person,next_to_working_place,2015-01-09,11,Morning
AudioSoundDetector,water_running_in_sink,0.1,water,running_in_sink,2014-12-16,11,Morning
